stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
5710AWA10903,,"Orchard Castle",,51.537749524,-3.199150928,,,,,,
5720AWA10431,,"Orchard Drive",,51.41146101,-3.269679551,,,,,,
5710AWA10768,,"Ordell St",,51.481351663,-3.153517422,,,,,,
5710AWA10208,,"Oswestry Close (Caeglas Road)",,51.507116645,-3.124485505,,,,,,
5710AWA11421,,"Palace Road",,51.489314988,-3.214414679,,,,,,
5710CBZ02531,,"Palace Road",,51.492140134,-3.215987825,,,,,,
5720AWA10403,,"Palmerston Sch",,51.411726814,-3.241518144,,,,,,
5720AWA10404,,"Palmerston Sch",,51.411853733,-3.241420928,,,,,,
5710AWA10360,,Panasonic,,51.528950505,-3.137363512,,,,,,
5710AWA10359,,Panasonic,,51.5299102,-3.138540732,,,,,,
5710AWA10363,,"Pant Glas",,51.525224133,-3.136823782,,,,,,
5710AWA10364,,"Pant Glas",,51.525113602,-3.137094909,,,,,,
5710AWA14483,,"Pant y Gored",,51.520912783,-3.313670862,,,,,,
5710AWA14482,,"Pant y Gored",,51.521827229,-3.31632051,,,,,,
5710AWA10990,,"Pantbach Avenue",,51.512033413,-3.202610254,,,,,,
5710AWA14476,,Parc-y-Coed,,51.521727414,-3.321996696,,,,,,
5720AWA11809,,"Park Avenue",,51.394654983,-3.2877851,,,,,,
5720AWA11805,,"Park Crescent",,51.399024736,-3.288640983,,,,,,
5310GWX16404,,"Park Drive",,51.569044072,-3.016991115,,,,,,
5720AWA11710,,"Park Hotel",,51.400313847,-3.288346582,,,,,,
5710AWA11206,,"Park Road",,51.518329297,-3.259836941,,,,,,
5710AWA11205,,"Park Road",,51.51833101,-3.260514387,,,,,,
5710WDB48535,,"Park Street",,51.478014168,-3.179871409,,,,,,
5710AWA11544,,"Parker Road",,51.47601929,-3.257590689,,,,,,
5710AWA10843,,"Parkfield Place",,51.498975031,-3.194012495,,,,,,
5710WDB48586,,"Parkway 1",,51.501959975,-3.111719954,,,,,,
5710WDB48585,,"Parkway 2",,51.504515916,-3.110152748,,,,,,
5710WDB48584,,"Parkway 3",,51.501929981,-3.111270002,,,,,,
5710AWA10821,,"Pearl Street",,51.484181111,-3.155648294,,,,,,
5710AWA10857,,"Pedair Erw Road",,51.513651456,-3.200016639,,,,,,
5720AWA12041,,"Penarth Cemetery",,51.424581867,-3.181860099,,,,,,
5720AWA12362,,"Penarth Health Centre",,51.434643616,-3.182245974,,,,,,
5720AWA12386,,"Penarth Library",,51.437810901,-3.173626784,,,,,,
5720AWA11957,,"Penarth Marina Tesco",,51.446253633,-3.186204213,,,,,,
5720AWA12334,,"Penarth Pier",,51.435605122,-3.167599819,,,,,,
5720AWA12335,,"Penarth Pier",,51.435390802,-3.167450488,,,,,,
5720AWA12329,,"Penarth Police Station",,51.440292134,-3.179057135,,,,,,
5720AWA12341,,"Penarth RFC",,51.427817545,-3.183784768,,,,,,
5720AWA12340,,"Penarth RFC",,51.427744321,-3.183912332,,,,,,
5710AWA11589,,"Penarth Road",,51.467694838,-3.191093687,,,,,,
5720AWA12366,,"Penarth Station",,51.43624464,-3.175586393,,,,,,
5720AWA12365,,"Penarth Station",,51.436188433,-3.176707116,,,,,,
5720AWA12337,,"Penarth Yacht Club",,51.432835395,-3.168521801,,,,,,
